title,id,release_date,vote_average,actors,director,composer,writer,producer
Teen Titans: The Judas Contract,408647,2017-03-31,7.4,"['Stuart Allan', 'Jake T. Austin', 'Taissa Farmiga']",Sam Liu,,Ernie Altbacker,
Pelé: Birth of a Legend,245913,2016-05-06,7.4,"['Kevin de Paula', 'Leonardo Lima Carvalho', 'Seu Jorge']",Jeff Zimbalist,A.R. Rahman,Michael Zimbalist,Colin Wilson
Those Happy Days,19100,2006-06-28,7.367,"['Jean-Paul Rouve', 'Marilou Berry', 'Omar Sy']",Éric Toledano,,,
The Wind That Shakes the Barley,1116,2006-06-23,7.4,"['Cillian Murphy', 'Pádraic Delaney', 'Liam Cunningham']",Ken Loach,George Fenton,Paul Laverty,Rebecca O'Brien
Fruitvale Station,157354,2013-07-26,7.366,"['Michael B. Jordan', 'Melonie Diaz', 'Octavia Spencer']",Ryan Coogler,Ludwig Göransson,Ryan Coogler,Nina Yang Bongiovi
A Letter to Momo,100271,2012-04-21,7.4,"['Karen Miyama', 'Toshiyuki Nishida', 'Yûka']",Hiroyuki Okiura,Mina Kubota,Hiroyuki Okiura,Motoki Mukaichi
The Great Gatsby,64682,2013-05-09,7.366,"['Leonardo DiCaprio', 'Tobey Maguire', 'Carey Mulligan']",Baz Luhrmann,Craig Armstrong,Craig Pearce,Catherine Knapman
Once in a Lifetime,303483,2014-12-03,7.4,"['Ariane Ascaride', 'Ahmed Dramé', 'Noémie Merlant']",Marie-Castille Mention-Schaar,Ludovico Einaudi,,Marie-Castille Mention-Schaar
Blow,4133,2001-04-04,7.365,"['Johnny Depp', 'Penélope Cruz', 'Franka Potente']",Ted Demme,Graeme Revell,David McKenna,Joel Stillerman
Pirates of the Caribbean: Dead Man's Chest,58,2006-07-06,7.365,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",Gore Verbinski,Hans Zimmer,Ted Elliott,Jerry Bruckheimer
La Belle Époque,595975,2019-11-06,7.364,"['Daniel Auteuil', 'Guillaume Canet', 'Doria Tillier']",Nicolas Bedos,Nicolas Bedos,,Ardavan Safaee
First They Killed My Father,433247,2017-02-18,7.4,"['Sareum Srey Moch', 'Phoeung Kompheak', 'Sveng Socheata']",Angelina Jolie,Marco Beltrami,Loung Ung,Angelina Jolie
Rise of the Guardians,81188,2012-11-21,7.364,"['Chris Pine', 'Alec Baldwin', 'Jude Law']",Peter Ramsey,Alexandre Desplat,David Lindsay-Abaire,Nancy Bernstein
Frantz,377263,2016-09-07,7.363,"['Pierre Niney', 'Paula Beer', 'Ernst Stötzner']",François Ozon,,François Ozon,Eric Altmayer
Southpaw,307081,2015-03-24,7.363,"['Jake Gyllenhaal', 'Rachel McAdams', 'Forest Whitaker']",Antoine Fuqua,James Horner,,Jason Blumenthal
Lifeboat,13321,1944-01-28,7.4,"['Tallulah Bankhead', 'William Bendix', 'Walter Slezak']",Alfred Hitchcock,Hugo Friedhofer,Jo Swerling,Kenneth Macgowan
Jerry & Marge Go Large,843847,2022-10-20,7.4,"['Bryan Cranston', 'Annette Bening', 'Rainn Wilson']",David Frankel,Jake Monaco,Brad Copeland,Gil Netter
Turning Red,508947,2022-03-10,7.362,"['Rosalie Chiang', 'Sandra Oh', 'Ava Morse']",Domee Shi,Ludwig Göransson,Julia Cho,Lindsey Collins
Okja,387426,2017-06-28,7.361,"['Ahn Seo-hyun', 'Tilda Swinton', 'Paul Dano']",Bong Joon-ho,Jung Jae-il,Jon Ronson,Bong Joon-ho
The Impossible,80278,2012-09-09,7.4,"['Naomi Watts', 'Ewan McGregor', 'Tom Holland']",J. A. Bayona,Fernando Velázquez,,Belén Atienza
An Affair to Remember,8356,1957-07-11,7.4,"['Cary Grant', 'Deborah Kerr', 'Richard Denning']",Leo McCarey,Hugo Friedhofer,Delmer Daves,Jerry Wald
Ice Age,425,2002-03-10,7.361,"['Ray Romano', 'John Leguizamo', 'Denis Leary']",Chris Wedge,David Newman,Michael J. Wilson,Lori Forte
Bubble,912598,2022-02-14,7.36,"['Jun Shison', 'Riria.', 'Alice Hirose']",Tetsuro Araki,Hiroyuki Sawano,Renji Oki,Genki Kawamura
Adaptation.,2757,2002-12-06,7.357,"['Nicolas Cage', 'Meryl Streep', 'Chris Cooper']",Spike Jonze,Carter Burwell,Charlie Kaufman,Vincent Landay
Fantasia,756,1940-11-13,7.4,"['Deems Taylor', 'Walt Disney', 'Julietta Novis']",Wilfred Jackson,,,Walt Disney
Blood and Bone,22164,2009-02-07,7.359,"['Michael Jai White', 'Eamonn Walker', 'Michelle Belegrin']",Ben Ramsey,Nicholas Pike,Michael Andrews,Matthew Binns
Perfume: The Story of a Murderer,1427,2006-09-13,7.4,"['Ben Whishaw', 'Alan Rickman', 'Rachel Hurd-Wood']",Tom Tykwer,Reinhold Heil,Bernd Eichinger,Bernd Eichinger
Match Point,116,2005-10-26,7.4,"['Jonathan Rhys Meyers', 'Scarlett Johansson', 'Emily Mortimer']",Woody Allen,,,Nicky Kentish Barnes
Enola Holmes 2,829280,2022-11-30,7.361,"['Millie Bobby Brown', 'Henry Cavill', 'David Thewlis']",Harry Bradbeer,Daniel Pemberton,,Mary Parent
Miracle on 34th Street,11881,1947-06-04,7.365,"[""Maureen O'Hara"", 'John Payne', 'Edmund Gwenn']",George Seaton,Cyril J. Mockridge,George Seaton,William Perlberg
Belle de Jour,649,1967-05-24,7.4,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli']",Luis Buñuel,,Luis Buñuel,Henri Baum
A Hero,672208,2021-12-15,7.357,"['Amir Jadidi', 'Mohsen Tanabandeh', 'Fereshteh Sadr Orafaee']",Asghar Farhadi,,,Asghar Farhadi
Jungle Cruise,451048,2021-07-28,7.357,"['Dwayne Johnson', 'Emily Blunt', 'Edgar Ramírez']",Jaume Collet-Serra,James Newton Howard,Michael Green,Beau Flynn
Scooby-Doo! and the Witch's Ghost,17681,1999-10-05,7.4,"['Scott Innes', 'Mary Kay Bergman', 'Frank Welker']",Jim Stenstrum,Louis Febre,,Cosmo Anzilotti
True Grit,17529,1969-06-11,7.4,"['John Wayne', 'Kim Darby', 'Glen Campbell']",Henry Hathaway,Elmer Bernstein,Marguerite Roberts,Hal B. Wallis
Close Encounters of the Third Kind,840,1977-12-14,7.357,"['Richard Dreyfuss', 'François Truffaut', 'Teri Garr']",Steven Spielberg,John Williams,,Clark L. Paylow
Jackie Brown,184,1997-12-25,7.4,"['Pam Grier', 'Samuel L. Jackson', 'Robert De Niro']",Quentin Tarantino,,Quentin Tarantino,Lawrence Bender
Unlocked,740441,2023-02-17,7.356,"['Chun Woo-hee', 'Yim Si-wan', 'Kim Hee-won']",Kim Tae-joon,Dalpalan,Kim Tae-joon,Lee Won-haeng
2 Hearts,710356,2020-10-16,7.354,"['Jacob Elordi', 'Adan Canto', 'Tiera Skovbye']",Lance Hool,James Jandrisch,,
Tini: The New Life of Violetta,360365,2016-05-04,7.356,"['TINI', 'Jorge Blanco', 'Mercedes Lambre']",Juan Pablo Buscarini,,,
The Hobbit: An Unexpected Journey,49051,2012-12-12,7.4,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",Peter Jackson,Howard Shore,Guillermo del Toro,Fran Walsh
The Counterfeiters,7862,2007-03-22,7.354,"['Karl Markovics', 'August Diehl', 'Devid Striesow']",Stefan Ruzowitzky,,Stefan Ruzowitzky,Josef Aichholzer
Shane,3110,1953-04-23,7.4,"['Alan Ladd', 'Jean Arthur', 'Van Heflin']",George Stevens,Victor Young,A.B. Guthrie Jr.,George Stevens
Eastern Promises,2252,2007-09-14,7.4,"['Viggo Mortensen', 'Naomi Watts', 'Vincent Cassel']",David Cronenberg,Howard Shore,Steven Knight,Robert Lantos
The Big Short,318846,2015-12-11,7.355,"['Steve Carell', 'Christian Bale', 'John Magaro']",Adam McKay,Nicholas Britell,Adam McKay,Dede Gardner
The Red Violin,14283,1998-09-10,7.355,"['Carlo Cecchi', 'Irene Grazioli', 'Anita Laurenzi']",François Girard,John Corigliano,,Niv Fichman
Resident Evil: Death Island,1083862,2023-06-22,7.354,"['Matthew Mercer', 'Nicole Tompkins', 'Kevin Dorman']",Eiichirō Hasumi,Rei Kondo,Makoto Fukami,Hiroyasu Shinohara
Ride On,931102,2023-04-07,7.35,"['Jackie Chan', 'Liu Haocun', 'Guo Qilin']",Larry Yang,,,Li Jie
The Boss Baby: Family Business,459151,2021-07-01,7.4,"['Alec Baldwin', 'James Marsden', 'Amy Sedaris']",Tom McGrath,Steve Mazzaro,,Marla Frazee
Descendants 2,417320,2017-07-21,7.354,"['Dove Cameron', 'Cameron Boyce', 'Sofia Carson']",Kenny Ortega,David Lawrence,,Shawn Williamson
Darkest Hour,399404,2017-11-22,7.353,"['Gary Oldman', 'Kristin Scott Thomas', 'Ben Mendelsohn']",Joe Wright,Dario Marianelli,Anthony McCarten,Eric Fellner
Road to Perdition,4147,2002-07-12,7.354,"['Tom Hanks', 'Tyler Hoechlin', 'Paul Newman']",Sam Mendes,Thomas Newman,David Self,Sam Mendes
Scooby-Doo! WrestleMania Mystery,258893,2014-03-11,7.353,"['Frank Welker', 'Matthew Lillard', 'Grey DeLisle']",Brandon Vietti,Ryan Shore,,Brandon Vietti
The Wicker Man,16307,1973-12-06,7.4,"['Edward Woodward', 'Christopher Lee', 'Britt Ekland']",Robin Hardy,Paul Giovanni,Anthony Shaffer,Peter Snell
The Sea Beast,560057,2022-06-24,7.352,"['Karl Urban', 'Zaris-Angel Hator', 'Jared Harris']",Chris Williams,Mark Mancina,Nell Benjamin,Jed Schlanger
The Wailing,293670,2016-05-12,7.352,"['Kwak Do-won', 'Hwang Jung-min', 'Chun Woo-hee']",Na Hong-jin,Dalpalan,,Lim Min-sub
Philomena,205220,2013-11-01,7.352,"['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark']",Stephen Frears,Alexandre Desplat,Steve Coogan,Steve Coogan
Jacob's Ladder,2291,1990-11-02,7.352,"['Tim Robbins', 'Elizabeth Peña', 'Danny Aiello']",Adrian Lyne,Maurice Jarre,,Bruce Joel Rubin
My Father's Glory,12716,1990-08-29,7.4,"['Philippe Caubère', 'Nathalie Roussel', 'Didier Pain']",Yves Robert,Vladimir Cosma,,Alain Poiré
The Abyss,2756,1989-08-09,7.4,"['Ed Harris', 'Mary Elizabeth Mastrantonio', 'Michael Biehn']",James Cameron,Alan Silvestri,,Gale Anne Hurd
Minority Report,180,2002-06-20,7.351,"['Tom Cruise', 'Samantha Morton', 'Max von Sydow']",Steven Spielberg,John Williams,Scott Frank,Jan de Bont
The Yellow Sea,57361,2010-12-22,7.351,"['Ha Jung-woo', 'Kim Yun-seok', 'Cho Seong-ha']",Na Hong-jin,Lee Byung-hoon,,Kim Kyung-hwan
Just Another Christmas,755339,2020-12-03,7.3,"['Leandro Hassum', 'Elisa Pinheiro', 'Arianne Botelho']",Roberto Santucci,,Paulo Cursino,André Carreira
"Dearest Relatives, Poisonous Relations",24182,1992-03-26,7.348,"['Marina Confalone', 'Tommaso Bianco', 'Renato Cecchetto']",Mario Monicelli,,Mario Monicelli,Giovanni Di Clemente
Santa Claus Is a Stinker,14645,1982-08-25,7.349,"['Gérard Jugnot', 'Thierry Lhermitte', 'Anémone']",Jean-Marie Poiré,Vladimir Cosma,,Yves Rousset-Rouard
Wait Until Dark,11206,1967-10-26,7.3,"['Audrey Hepburn', 'Alan Arkin', 'Richard Crenna']",Terence Young,Henry Mancini,Robert Carrington,Mel Ferrer
Blow-Up,1052,1966-12-18,7.349,"['David Hemmings', 'Vanessa Redgrave', 'Sarah Miles']",Michelangelo Antonioni,Herbie Hancock,Michelangelo Antonioni,Carlo Ponti
Road to Ninja: Naruto the Movie,118406,2012-07-28,7.3,"['Junko Takeuchi', 'Chie Nakamura', 'Toshiyuki Morikawa']",Hayato Date,Yasuharu Takanashi,Yuka Miyata,Naoji Hounokidani
End of Watch,77016,2012-09-20,7.348,"['Jake Gyllenhaal', 'Michael Peña', 'Natalie Martinez']",David Ayer,David Sardy,David Ayer,John Lesher
The Little Mermaid,10144,1989-11-17,7.3,"['Jodi Benson', 'Samuel E. Wright', 'Pat Carroll']",John Musker,Alan Menken,,Howard Ashman
Cherry,544401,2021-02-26,7.347,"['Tom Holland', 'Ciara Bravo', 'Jack Reynor']",Joe Russo,Henry Jackman,Angela Russo-Otstot,Anthony Russo
Dungeons & Dragons: Honor Among Thieves,493529,2023-03-23,7.347,"['Chris Pine', 'Michelle Rodriguez', 'Justice Smith']",Jonathan Goldstein,Lorne Balfe,Michael Gilio,Nick Meyer
Blindspotting,489930,2018-07-20,7.3,"['Daveed Diggs', 'Rafael Casal', 'Janina Gavankar']",Carlos López Estrada,Jonathan Snipes,,Jessica Wu
Remember,302528,2015-10-23,7.3,"['Christopher Plummer', 'Bruno Ganz', 'Jürgen Prochnow']",Atom Egoyan,Mychael Danna,,Robert Lantos
Saving Mr. Banks,140823,2013-11-29,7.347,"['Emma Thompson', 'Tom Hanks', 'Colin Farrell']",John Lee Hancock,Thomas Newman,,Philip Steuer
The Lady from Shanghai,3766,1947-12-24,7.3,"['Rita Hayworth', 'Orson Welles', 'Everett Sloane']",Orson Welles,Heinz Roemheld,Orson Welles,Orson Welles
Meet Joe Black,297,1998-11-12,7.347,"['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani']",Martin Brest,Thomas Newman,Ron Osborn,Martin Brest
Chemical Hearts,621013,2020-08-21,7.343,"['Austin Abrams', 'Lili Reinhart', 'Sarah Jones']",Richard Tanne,Stephen James Taylor,Richard Tanne,Richard Tanne
Rudy,14534,1993-09-17,7.346,"['Sean Astin', 'Jon Favreau', 'Ned Beatty']",David Anspaugh,Jerry Goldsmith,,Robert N. Fried
Kelly's Heroes,11589,1970-06-22,7.3,"['Clint Eastwood', 'Telly Savalas', 'Don Rickles']",Brian G. Hutton,Lalo Schifrin,Troy Kennedy Martin,Sidney Beckerman
Glengarry Glen Ross,9504,1992-09-10,7.346,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin']",James Foley,James Newton Howard,David Mamet,Jerry Tokofsky
Down by Law,1554,1986-09-20,7.346,"['Tom Waits', 'John Lurie', 'Roberto Benigni']",Jim Jarmusch,John Lurie,,Alan Kleinberg
Goldfinger,658,1964-09-20,7.3,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman']",Guy Hamilton,John Barry,Paul Dehn,Albert R. Broccoli
Split,381288,2017-01-19,7.345,"['James McAvoy', 'Anya Taylor-Joy', 'Betty Buckley']",M. Night Shyamalan,West Dylan Thordson,,Jason Blum
High Plains Drifter,11901,1973-04-19,7.345,"['Clint Eastwood', 'Verna Bloom', 'Marianna Hill']",Clint Eastwood,Dee Barton,,Robert Daley
The Zookeeper's Wife,289222,2017-03-24,7.344,"['Jessica Chastain', 'Daniel Brühl', 'Johan Heldenbergh']",Niki Caro,Harry Gregson-Williams,Angela Workman,Jamie Patricof
Eraserhead,985,1977-09-28,7.344,"['Jack Nance', 'Charlotte Stewart', 'Allen Joseph']",David Lynch,David Lynch,David Lynch,David Lynch
A Hard Day's Night,704,1964-07-07,7.3,"['John Lennon', 'Paul McCartney', 'George Harrison']",Richard Lester,,Alun Owen,Walter Shenson
The Terminal,594,2004-06-17,7.3,"['Tom Hanks', 'Catherine Zeta-Jones', 'Stanley Tucci']",Steven Spielberg,John Williams,Sacha Gervasi,Steven Spielberg
The African Queen,488,1952-01-07,7.3,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley']",John Huston,Allan Gray,James Agee,John Woolf
The 39 Steps,260,1935-06-06,7.344,"['Robert Donat', 'Madeleine Carroll', 'Lucie Mannheim']",Alfred Hitchcock,Louis Levy,,Michael Balcon
The Beekeeper,866398,2024-01-08,7.343,"['Jason Statham', 'Emmy Raver-Lampman', 'Bobby Naderi']",David Ayer,Jared Michael Fry,,Jason Statham
Papillon,433498,2017-09-07,7.343,"['Charlie Hunnam', 'Rami Malek', 'Christopher Fairbank']",Michael Noer,David Buckley,Aaron Guzikowski,Joey McFarland
Horse Fever,38528,1976-10-29,7.343,"['Gigi Proietti', 'Enrico Montesano', 'Catherine Spaak']",Steno,Franco Bixio,Steno,Roberto Infascelli
Possession,21484,1981-05-27,7.343,"['Isabelle Adjani', 'Sam Neill', 'Margit Carstensen']",Andrzej Żuławski,Andrzej Korzyński,Andrzej Żuławski,Marie-Laure Reyre
Sophie's Choice,15764,1982-12-08,7.3,"['Meryl Streep', 'Kevin Kline', 'Peter MacNicol']",Alan J. Pakula,Marvin Hamlisch,Alan J. Pakula,Keith Barish
Wreck-It Ralph,82690,2012-11-01,7.342,"['John C. Reilly', 'Sarah Silverman', 'Jack McBrayer']",Rich Moore,Henry Jackman,Jennifer Lee,Monica Lago-Kaytis
"Bianco, rosso e Verdone",37775,1981-02-20,7.3,"['Carlo Verdone', 'Irina Sanpiter', 'Elena Fabrizi']",Carlo Verdone,Ennio Morricone,Carlo Verdone,
Black Box,663260,2021-09-08,7.3,"['Pierre Niney', 'Lou de Laâge', 'André Dussollier']",Yann Gozlan,Philippe Rombi,Yann Gozlan,Wassim Béji
Patema Inverted,212167,2013-11-09,7.3,"['Yukiyo Fujii', 'Nobuhiko Okamoto', 'Takaya Hashi']",Yasuhiro Yoshiura,Michiru Oshima,Yasuhiro Yoshiura,Mikio Ono
Suicide Room,72478,2011-03-04,7.341,"['Jakub Gierszał', 'Roma Gąsiorowska', 'Agata Kulesza']",Jan Komasa,,,Jerzy Kapuściński
The Killers,14638,1946-08-30,7.3,"[""Edmond O'Brien"", 'Burt Lancaster', 'Ava Gardner']",Robert Siodmak,Miklós Rózsa,Anthony Veiller,Mark Hellinger
Johnny Stecchino,12776,1991-10-24,7.341,"['Roberto Benigni', 'Nicoletta Braschi', 'Paolo Bonacelli']",Roberto Benigni,Evan Lurie,Roberto Benigni,Mario Cecchi Gori
Pay It Forward,10647,2000-10-20,7.341,"['Kevin Spacey', 'Helen Hunt', 'Angie Dickinson']",Mimi Leder,Thomas Newman,Leslie Dixon,Peter Abrams
El Dorado,6644,1966-12-17,7.346,"['John Wayne', 'Robert Mitchum', 'James Caan']",Howard Hawks,Nelson Riddle,Leigh Brackett,Howard Hawks
A Nightmare on Elm Street,377,1984-10-31,7.341,"['Heather Langenkamp', 'Robert Englund', 'Johnny Depp']",Wes Craven,Charles Bernstein,,Robert Shaye
Sorry We Missed You,522369,2019-10-04,7.34,"['Kris Hitchen', 'Debbie Honeywood', 'Rhys Mcgowan']",Ken Loach,George Fenton,,Rebecca O'Brien
G.O.R.A.,27275,2004-11-12,7.3,"['Cem Yılmaz', 'Özge Özberk', 'Özkan Uğur']",Ömer Faruk Sorak,Ozan Çolakoğlu,,Necati Akpınar
"What's Up, Doc?",6949,1972-03-09,7.3,"['Barbra Streisand', ""Ryan O'Neal"", 'Madeline Kahn']",Peter Bogdanovich,,Buck Henry,Peter Bogdanovich
Air,964980,2023-04-05,7.339,"['Matt Damon', 'Ben Affleck', 'Jason Bateman']",Ben Affleck,,,Ben Affleck
The Big Sick,416477,2017-03-30,7.339,"['Kumail Nanjiani', 'Zoe Kazan', 'Holly Hunter']",Michael Showalter,Michael Andrews,Kumail Nanjiani,Judd Apatow
Scooby-Doo! and the Reluctant Werewolf,37211,1988-11-13,7.339,"['Casey Kasem', 'Don Messick', 'B.J. Ward']",Ray Patterson,Sven Libaek,,Bernard Wolf
The Blue Angel,228,1930-04-01,7.3,"['Emil Jannings', 'Marlene Dietrich', 'Kurt Gerron']",Josef von Sternberg,Friedrich Hollaender,,Erich Pommer
Superman II: The Richard Donner Cut,624479,2006-11-02,7.3,"['Christopher Reeve', 'Margot Kidder', 'Gene Hackman']",Richard Donner,John Williams,David Newman,Pierre Spengler
20th Century Women,342737,2016-12-28,7.337,"['Annette Bening', 'Lucas Jade Zumann', 'Greta Gerwig']",Mike Mills,Roger Neill,Mike Mills,Anne Carey
The Physician,169881,2013-12-25,7.338,"['Tom Payne', 'Ben Kingsley', 'Stellan Skarsgård']",Philipp Stölzl,Ingo Ludwig Frenzel,Jan Berger,Nico Hofmann
Now You See Me,75656,2013-05-29,7.338,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",Louis Leterrier,Brian Tyler,Ed Solomon,Roberto Orci
French Fried Vacation 2,33701,1979-11-22,7.338,"['Thierry Lhermitte', 'Michel Blanc', 'Christian Clavier']",Patrice Leconte,Pierre Bachelet,,Yves Rousset-Rouard
Watchmen,13183,2009-03-04,7.338,"['Malin Åkerman', 'Patrick Wilson', 'Billy Crudup']",Zack Snyder,Tyler Bates,David Hayter,Deborah Snyder
Operation Condor,10975,1991-02-07,7.3,"['Jackie Chan', 'Carol Cheng', 'Eva Cobo']",Jackie Chan,Chris Babida,Jackie Chan,Leonard Ho
Europa,9065,1991-06-27,7.3,"['Jean-Marc Barr', 'Barbara Sukowa', 'Udo Kier']",Lars von Trier,Joachim Holbek,Lars von Trier,Peter Aalbæk Jensen
Red River,3089,1948-08-26,7.3,"['John Wayne', 'Montgomery Clift', 'Joanne Dru']",Howard Hawks,Dimitri Tiomkin,Borden Chase,Howard Hawks
American Fiction,1056360,2023-11-10,7.3,"['Jeffrey Wright', 'John Ortiz', 'Erika Alexander']",Cord Jefferson,Laura Karpman,,Ben LeClair
The Enigma of Kaspar Hauser,11710,1974-11-01,7.337,"['Bruno S.', 'Walter Ladengast', 'Brigitte Mira']",Werner Herzog,,Werner Herzog,Werner Herzog
Oscar,2798,1967-10-11,7.337,"['Louis de Funès', 'Claude Rich', 'Agathe Natanson']",Édouard Molinaro,Georges Delerue,,
The Station Agent,2056,2003-12-05,7.337,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale']",Tom McCarthy,Stephen Trask,,Robert May
The Hating Game,603661,2021-12-09,7.336,"['Lucy Hale', 'Austin Stowell', 'Corbin Bernsen']",Peter Hutchings,,Christina Mengert,Dan Reardon
The Butler,132363,2013-08-16,7.3,"['Forest Whitaker', 'Oprah Winfrey', 'David Oyelowo']",Lee Daniels,Rodrigo Leão,,Buddy Patrick
CJ7,13688,2008-01-30,7.336,"['Stephen Chow Sing-Chi', 'Xu Jiao', 'Kitty Zhang Yuqi']",Stephen Chow Sing-Chi,,Vincent Kok Tak-Chiu,Connie Wong Nga-Lam
Mutiny on the Bounty,12311,1935-11-22,7.3,"['Charles Laughton', 'Clark Gable', 'Franchot Tone']",Frank Lloyd,Herbert Stothart,Talbot Jennings,Irving Thalberg
Decision to Leave,705996,2022-06-29,7.3,"['Tang Wei', 'Park Hae-il', 'Lee Jung-hyun']",Park Chan-wook,Cho Young-wuk,,Park Chan-wook
Belladonna of Sadness,64847,1973-06-30,7.3,"['Aiko Nagayama', 'Tatsuya Nakadai', 'Takao Ito']",Eiichi Yamamoto,,,Osamu Tezuka
A Dog's Life,36208,1918-04-14,7.3,"['Charlie Chaplin', 'Dave Anderson', 'Bert Appling']",Charlie Chaplin,Charlie Chaplin,,Charlie Chaplin
Undisputed II: Last Man Standing,15255,2006-04-11,7.335,"['Michael Jai White', 'Scott Adkins', 'Ben Cross']",Isaac Florentine,Stephen Edwards,David N. White,
A Very Long Engagement,2841,2004-10-27,7.3,"['Audrey Tautou', 'Gaspard Ulliel', 'Dominique Pinon']",Jean-Pierre Jeunet,Angelo Badalamenti,Guillaume Laurant,Jean-Pierre Jeunet
The Time Machine,2134,1960-05-25,7.3,"['Rod Taylor', 'Alan Young', 'Yvette Mimieux']",George Pal,Russell Garcia,David Duncan,George Pal
Red Dog,66125,2011-08-04,7.3,"['Josh Lucas', 'Rachael Taylor', 'Rohan Nichol']",Kriv Stenders,Cezary Skubiszewski,Daniel Taplitz,Julie Ryan
Cyrano de Bergerac,11673,1990-03-28,7.334,"['Gérard Depardieu', 'Anne Brochet', 'Vincent Perez']",Jean-Paul Rappeneau,Jean-Claude Petit,Jean-Claude Carrière,André Szöts
John Wick: Chapter 2,324552,2017-02-08,7.333,"['Keanu Reeves', 'Common', 'Ian McShane']",Chad Stahelski,Tyler Bates,,Erica Lee
Spider-Man: Homecoming,315635,2017-07-05,7.333,"['Tom Holland', 'Michael Keaton', 'Robert Downey Jr.']",Jon Watts,Michael Giacchino,John Francis Daley,Kevin Feige
Enter the Void,34647,2009-06-17,7.334,"['Paz de la Huerta', 'Nathaniel Brown', 'Cyril Roy']",Gaspar Noé,,,Olivier Delbosc
Blood and Black Lace,28055,1964-04-10,7.34,"['Cameron Mitchell', 'Eva Bartok', 'Thomas Reiner']",Mario Bava,Carlo Rustichelli,Marcello Fondato,Massimo Patrizi
RoboCop,5548,1987-07-17,7.334,"['Peter Weller', 'Nancy Allen', ""Dan O'Herlihy""]",Paul Verhoeven,Basil Poledouris,,Arne Schmidt
Gentlemen Prefer Blondes,759,1953-07-14,7.3,"['Marilyn Monroe', 'Jane Russell', 'Charles Coburn']",Howard Hawks,,Charles Lederer,Sol C. Siegel
Uncle Frank,634544,2020-11-25,7.332,"['Paul Bettany', 'Sophia Lillis', 'Peter Macdissi']",Alan Ball,Nathan Barr,,Alan Ball
Minari,615643,2021-02-12,7.3,"['Steven Yeun', 'Han Yeri', 'Youn Yuh-jung']",Lee Isaac Chung,Emile Mosseri,,Jeremy Kleiner
The Lunchbox,191714,2013-09-20,7.332,"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui']",Ritesh Batra,Max Richter,Ritesh Batra,Anurag Kashyap
Chocolate,15003,2008-02-06,7.3,"['JeeJa Yanin', 'Hiroshi Abe', 'Pongpat Wachirabunjong']",Prachya Pinkaew,Nimit Jitranon,Napalee,Akarapol Techaratanaprasert
"The Cook, the Thief, His Wife & Her Lover",7452,1989-10-13,7.3,"['Richard Bohringer', 'Michael Gambon', 'Helen Mirren']",Peter Greenaway,Michael Nyman,Peter Greenaway,Kees Kasander
Dirty Dancing,88,1987-08-21,7.331,"['Jennifer Grey', 'Patrick Swayze', 'Jerry Orbach']",Emile Ardolino,John Morris,,Linda Gottlieb
A Boy Called Christmas,615666,2021-11-24,7.336,"['Henry Lawfull', 'Michiel Huisman', 'Stephen Merchant']",Gil Kenan,Dario Marianelli,,Sharon Titmarsh
Palm Springs,587792,2020-07-10,7.33,"['Andy Samberg', 'Cristin Milioti', 'J.K. Simmons']",Max Barbakow,Matthew Compton,Andy Siara,Andy Samberg
