title,id,release_date,vote_average
Young Frankenstein,3034,1974-12-15,7.9
Dancer in the Dark,16,2000-09-01,7.9
Sing Street,369557,2016-03-11,7.9
Finch,522402,2021-11-04,7.869
An Egg Rescue,573164,2021-08-12,7.874
Vincent,32085,1982-10-01,7.869
Just Mercy,522212,2019-12-25,7.867
Mr. Smith Goes to Washington,3083,1939-10-19,7.867
Perfect Strangers,381341,2016-02-11,7.866
Mamma Roma,47796,1962-09-22,7.9
The Night of the Hunter,3112,1955-08-26,7.9
The Cameraman,31411,1928-09-10,7.861
A Bronx Tale,1607,1993-10-01,7.861
Sing 2,438695,2021-12-01,7.858
Downfall,613,2004-09-16,7.9
Fargo,275,1996-03-08,7.859
Mary and Max,24238,2009-04-09,7.858
A Beautiful Mind,453,2001-12-14,7.858
Stand by Me,235,1986-08-08,7.855
Shoplifters,505192,2018-06-02,7.855
Her,152601,2013-12-18,7.853
Isle of Dogs,399174,2018-03-23,7.853
Indiana Jones and the Last Crusade,89,1989-05-24,7.852
The Breadwinner,435129,2017-11-17,7.851
Regular Show: The Movie,354857,2015-09-01,7.85
Werckmeister Harmonies,23160,2001-02-01,7.8
Tampopo,11830,1985-11-23,7.8
Grand Illusion,777,1937-06-04,7.85
The Theory of Everything,266856,2014-11-26,7.849
Paper Moon,11293,1973-05-09,7.849
Joint Security Area,2440,2000-09-09,7.85
My Way,94047,2011-12-21,7.847
Departures,16804,2008-09-13,7.847
Knives Out,546554,2019-11-27,7.8
See You Up There,430424,2017-10-25,7.846
Ivan's Childhood,31442,1962-05-09,7.846
Raya and the Last Dragon,527774,2021-03-03,7.845
Dances with Wolves,581,1990-03-30,7.845
Warrior,59440,2011-09-09,7.844
"Monsters, Inc.",585,2001-11-01,7.844
Sherlock: The Abominable Bride,379170,2016-01-01,7.843
The Big Lebowski,115,1998-03-06,7.8
The Whale,785084,2022-12-09,7.8
Close to the Horizon,594634,2019-10-10,7.8
Papillon,5924,1973-12-16,7.841
Feast,293299,2014-10-25,7.84
Millennium Actress,33320,2002-09-14,7.8
